title,domestic_gross,max_theaters,release_date,join_title
Never Let Go,"$10,306,106",2667,Sep 20,never let go
Late Night with the Devil,"$10,000,293",1442,Mar 22,late night with the devil
Lisa Frankenstein,"$9,774,285",3144,Feb 9,lisa frankenstein
Piece by Piece,"$9,756,635",1873,Oct 11,piece by piece
Saturday Night,"$9,511,315",2336,Sep 27,saturday night
The Crow,"$9,275,659",2752,Aug 23,the crow
Babygirl,"$9,186,495",2164,Dec 25,babygirl
Thelma,"$9,002,073",1290,Jun 21,thelma
The Lord of the Rings: The War of the Rohirrim,"$8,755,502",2602,Dec 13,the lord of the rings: the war of the rohirrim
Love Lies Bleeding,"$8,335,797",1828,Mar 8,love lies bleeding
The Zone of Interest,"$8,195,679",598,Dec 8,the zone of interest
Spy x Family Code: White,"$8,110,042",2009,Apr 19,spy x family code: white
Ferrari,"$7,771,546",2386,Dec 25,ferrari
The Chosen: S4 Episodes 7-8,"$7,729,152",2215,Feb 29,the chosen: s4 episodes 7-8
A Real Pain,"$7,676,866",1185,Nov 1,a real pain
Megalopolis,"$7,629,085",1854,Sep 27,megalopolis
Sight,"$7,206,741",2118,May 24,sight
Haikyu!! The Dumpster Battle,"$7,071,622",1119,May 31,haikyu!! the dumpster battle
Afraid,"$6,725,687",3003,Aug 30,afraid
The Hunger Games: The Ballad of Songbirds & Snakes,"$6,630,969",3776,Nov 17,the hunger games: the ballad of songbirds & snakes
I.S.S.,"$6,573,799",2518,Jan 19,i.s.s.
Pushpa: The Rule - Part 2,"$6,400,000",1245,Dec 5,pushpa: the rule - part 2
Cuckoo,"$6,217,733",1503,Aug 9,cuckoo
Back to Black,"$6,178,165",2013,May 17,back to black
The Book of Clarence,"$6,132,813",2010,Jan 12,the book of clarence
The Nightmare Before Christmas2024 Re-release,"$6,124,705",1860,Oct 11,the nightmare before christmas2024 re-release
Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,"$6,013,515",466,Apr 15,columbia 100th anniversary seriescolumbia 100th anniversary series
Someone Like You,"$5,937,306",1802,Apr 5,someone like you
Trolls Band Together,"$5,729,950",3893,Nov 17,trolls band together
One Life,"$5,716,885",1009,Mar 15,one life
Devara Part 1,"$5,600,000",1040,Sep 26,devara part 1
The Killer's Game,"$5,404,378",2623,Sep 13,the killer's game
My Old Ass,"$5,372,282",1390,Sep 13,my old ass
White Bird,"$5,069,171",1038,Oct 4,white bird
My Hero Academia: You're Next,"$5,041,781",1845,Oct 11,my hero academia: you're next
Kinds of Kindness,"$5,038,931",920,Jun 21,kinds of kindness
Drive-Away Dolls,"$5,028,215",2280,Feb 23,drive-away dolls
The Fire Inside,"$5,021,220",2032,Dec 25,the fire inside
I Saw the TV Glow,"$5,017,817",469,May 3,i saw the tv glow
Wicked Little Letters,"$5,008,178",1009,Mar 29,wicked little letters
Dìdi,"$4,839,360",435,Jul 26,dìdi
Origin,"$4,689,830",664,Dec 8,origin
Land of Bad,"$4,620,045",1317,Feb 16,land of bad
The Exorcism,"$4,530,418",2240,Jun 21,the exorcism
Y2K,"$4,375,523",2108,Dec 6,y2k
In a Violent Nature,"$4,229,999",1426,May 31,in a violent nature
For King + Country: A Drummer Boy Christmas - Live,"$4,227,406",1540,Dec 5,for king + country: a drummer boy christmas - live
The Apprentice,"$4,001,910",1740,Oct 11,the apprentice
Babes,"$3,800,038",1118,May 17,babes
Perfect Days,"$3,766,668",271,Feb 7,perfect days
Oppenheimer,"$3,761,170",3761,Jul 21,oppenheimer
All of Us Strangers,"$3,703,589",295,Dec 22,all of us strangers
Shrek 22024 Re-release,"$3,427,910",1512,Apr 12,shrek 22024 re-release
Wish,"$3,364,674",3900,Nov 22,wish
Solo Leveling: ReAwakening,"$3,350,693",846,Dec 6,solo leveling: reawakening
Queer,"$3,282,117",460,Nov 27,queer
God's Not Dead: In God We Trust,"$3,269,322",1392,Sep 12,god's not dead: in god we trust
The Lord of the Rings: The Fellowship of the Ring2024 Re-release,"$3,256,658",1529,Jun 7,the lord of the rings: the fellowship of the ring2024 re-release
2024 Oscar Nominated Short Films: Documentary,"$3,162,293",367,Feb 16,2024 oscar nominated short films: documentary
The Front Room,"$3,092,269",2095,Sep 6,the front room
Strange Darling,"$3,083,595",1135,Aug 23,strange darling
The Long Game,"$3,060,040",1030,Apr 12,the long game
Jesus Thirsts: The Miracle of the Eucharist,"$2,927,121",1112,Jun 4,jesus thirsts: the miracle of the eucharist
1992,"$2,906,073",875,Aug 30,1992
The Fabulous Four,"$2,854,291",1045,Jul 26,the fabulous four
My Penguin Friend,"$2,769,460",1083,Aug 16,my penguin friend
Absolution,"$2,716,343",1500,Nov 1,absolution
The Taste of Things,"$2,655,074",505,Feb 9,the taste of things
GHOST: Rite Here Rite Now,"$2,647,702",755,Jun 20,ghost: rite here rite now
Ezra,"$2,631,460",1320,May 31,ezra
Sight & Sound Presents: Daniel LIVE,"$2,629,933",851,Aug 30,sight & sound presents: daniel live
Boy Kills World,"$2,626,127",1993,Apr 26,boy kills world
"Hello, Love, Again","$2,625,000",248,Nov 14,"hello, love, again"
Escape from Germany,"$2,576,216",131,Apr 12,escape from germany
Jung Kook: I Am Still,"$2,574,318",769,Sep 18,jung kook: i am still
The Lord of the Rings: The Two Towers2024 Re-release,"$2,566,412",1549,Jun 7,the lord of the rings: the two towers2024 re-release
The Blue Angels,"$2,560,945",450,May 17,the blue angels
Problemista,"$2,503,154",379,Mar 1,problemista
The American Society of Magical Negroes,"$2,480,645",1153,Mar 15,the american society of magical negroes
The Lord of the Rings: The Return of the King2024 Re-release,"$2,450,927",1172,Jun 10,the lord of the rings: the return of the king2024 re-release
Summer Camp,"$2,403,638",1787,May 31,summer camp
Sing Sing,"$2,403,211",191,Jul 12,sing sing
Howl's Moving Castle20th Anniversary – Studio Ghibli Fest 2024,"$2,384,690",1592,Sep 26,howl's moving castle20th anniversary – studio ghibli fest 2024
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,"$2,328,339",641,Dec 12,interstella 5555: the 5tory of the 5ecret 5tar 5ystem
Hitpig,"$2,324,019",2107,Nov 1,hitpig
Elevation,"$2,321,801",1416,Nov 8,elevation
Alien2024 Re-release,"$2,305,647",1750,Apr 26,alien2024 re-release
Exhuma,"$2,288,496",70,Mar 15,exhuma
Flow,"$2,280,601",377,Nov 22,flow
In the Land of Saints and Sinners,"$2,258,795",896,Mar 29,in the land of saints and sinners
Bhool Bhulaiyaa 3,"$2,230,000",754,Nov 1,bhool bhulaiyaa 3
The Lion King2024 Re-release,"$2,195,943",1330,Jul 12,the lion king2024 re-release
Singham Again,"$2,190,000",749,Nov 1,singham again
Stree 2,"$2,184,000",666,Aug 16,stree 2
The Holdovers,"$2,146,720",1601,Oct 27,the holdovers
Average Joe,"$2,106,965",1713,Oct 11,average joe
The Ark and the Darkness,"$2,097,560",1030,Mar 20,the ark and the darkness
Between the Temples,"$2,084,121",576,Aug 23,between the temples
Lee,"$2,005,488",854,Sep 27,lee
Look Back,"$2,002,270",531,Oct 4,look back
Yolo,"$2,001,584",200,Mar 8,yolo
Queen Rock Montreal,"$2,000,000",387,Jan 18,queen rock montreal
The Order,"$1,980,622",603,Dec 6,the order
SUGA: Agust D Tour 'D-DAY' the Movie,"$1,951,896",787,Apr 10,suga: agust d tour 'd-day' the movie
Out of Darkness,"$1,951,547",897,Feb 9,out of darkness
Inside Out 2,"$652,980,194",4440,Jun 14,inside out 2
Deadpool & Wolverine,"$636,745,858",4330,Jul 26,deadpool & wolverine
Wicked,"$432,943,285",3888,Nov 22,wicked
Moana 2,"$404,017,489",4200,Nov 27,moana 2
Despicable Me 4,"$361,004,205",4449,Jul 3,despicable me 4
